TransactionID,ProductID,QuantitySold,SalesDate
1001,P001,1,2022/09/25
1002,P013,2,30-11-2022
1003,,1,10-05-2023
1004,P012,10,20-12-2023
1005,P011,8,04-07-2022
1006,P015,5,11-01-2022
1007,,4,09-21-2023
1008,P010,3,28-09-2022
1009,P007,10,2023/06/19
1010,P018,1,2022/05/17
1011,P019,6,06-17-2023
1012,P009,7,2023/07/10
1013,,10,02-13-2023
1014,P003,7,11-12-2022
1015,P016,7,2022/03/26
1016,P006,7,07-03-2023
1017,P006,5,05-05-2022
1018,P013,7,2023/10/12
1019,P006,2,2023/10/01
1020,P003,9,04-05-2023
1021,P018,10,2022/11/10
1022,P016,6,2023/03/21
1023,P008,6,23-06-2023
1024,P004,4,23-05-2022
1025,P015,9,2023/04/13
1026,P003,10,02-09-2023
1027,P019,5,2022/02/16
1028,P016,3,10-02-2023
1029,P011,10,2022/03/14
1030,P015,7,15-03-2023
1031,P013,6,10-20-2023
1032,P014,8,2023/06/03
1033,P016,2,05-24-2022
1034,P020,3,04-13-2023
1035,P016,6,2022/01/30
1036,P001,4,05-25-2023
1037,P011,4,10-08-2023
1038,P010,4,08-12-2023
1039,P008,10,2023/02/24
1040,P006,3,06-15-2022
1041,,6,12-03-2023
1042,P004,7,10-27-2022
1043,P002,6,13-02-2023
1044,P004,1,12-18-2023
1045,P015,10,04-04-2022
1046,P018,2,20-02-2022
1047,P013,4,18-01-2023
1048,P018,9,06-20-2022
1049,P016,3,05-08-2023
1050,P004,2,09-09-2022
1051,P011,5,2022/02/09
1052,P012,6,2023/08/18
1053,P004,6,30-09-2022
1054,P013,4,11-04-2022
1055,P018,7,27-11-2023
1056,P003,3,28-09-2022
1057,P012,5,12-08-2022
1058,P001,10,04-19-2022
1059,P016,6,2022/12/12
1060,P014,9,2023/06/27
1061,P019,1,07-04-2023
1062,P004,8,07-20-2023
1063,P010,1,01-02-2023
1064,P002,10,25-10-2022
1065,P014,10,23-08-2023
1066,P007,9,22-03-2023
1067,P007,8,01-12-2022
1068,P015,7,2023/05/13
1069,P018,1,16-12-2022
1070,P012,8,05-03-2022
1071,P005,9,2022/09/28
1072,P014,4,2022/12/08
1073,P002,2,06-20-2023
1074,P011,4,2023/02/11
1075,P014,6,2022/12/11
1076,P011,5,22-09-2023
1077,P016,5,2023/04/16
1078,,5,2022/08/30
1079,P014,5,2023/07/16
1080,P005,10,08-02-2022
1081,P018,6,2022/04/19
1082,P013,6,07-18-2022
1083,P012,6,2023/08/09
1084,P003,1,22-01-2022
1085,P008,3,04-01-2022
1086,P018,2,2022/10/19
1087,P002,1,09-30-2023
1088,P008,8,2023/12/07
1089,P014,8,01-12-2023
1090,P018,6,2023/05/25
1091,P004,10,2023/05/10
1092,P014,1,2022/01/03
1093,P004,1,01-18-2022
1094,P017,1,03-16-2023
1095,P005,2,19-03-2023
1096,P017,4,14-02-2022
1097,P006,9,2022/08/13
1098,P013,4,18-01-2022
1099,P018,10,02-07-2022
1100,P014,10,2023/05/06
1101,P008,4,2023/06/30
1102,P005,2,02-24-2023
1103,P009,1,16-02-2023
1104,,9,03-31-2022
1105,P017,1,29-08-2022
1106,P006,5,13-05-2022
1107,P001,3,2023/08/07
1108,P011,4,12-07-2023
1109,P006,5,25-08-2022
